# Generic CC cross section for A=40 Z=18 Q=4.3 (10^-38 cm^2/GeV) #
# Be aware, these are approximate, accuracy is not guaranteed! #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #
-3.205058  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.202360  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.199661  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.196962  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.194263  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.191564  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.188865  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.186166  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.183467  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.180768  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.178069  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.175370  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.172671  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.169972  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.167273  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.164574  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.161875  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.159176  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.156477  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.153778  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.151079  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.148380  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.145681  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.142982  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.140283  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.137584  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.134885  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.132186  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.129487  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.126788  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.124089  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.121390  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.118691  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.115992  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.113294  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.110595  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.107896  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.105197  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.102498  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.099799  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.097100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.094401  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.091702  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.089003  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.086304  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.083605  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.080906  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.078207  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.075508  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.072809  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.070110  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.067411  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.064712  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.062013  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.059314  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.056615  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.053916  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.051217  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.048518  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.045819  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.043120  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.040421  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.037722  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.035023  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.032324  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.029625  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.026926  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.024228  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.021529  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.018830  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.016131  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.013432  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.010733  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.008034  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.005335  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.002636  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.999937  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.997238  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.994539  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.991840  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.989141  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.986442  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.983743  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.981044  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.978345  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.975646  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.972947  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.970248  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.967549  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.964850  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.962151  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.959452  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.956753  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.954054  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.951355  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.948656  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.945957  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.943258  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.940559  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.937860  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.935161  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.932463  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.929764  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.927065  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.924366  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.921667  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.918968  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.916269  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.913570  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.910871  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.908172  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.905473  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.902774  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.900075  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.897376  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.894677  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.891978  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.889279  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.886580  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.883881  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.881182  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.878483  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.875784  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.873085  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.870386  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.867687  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.864988  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.862289  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.859590  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.856891  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.854192  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.851493  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.848794  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.846095  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.843397  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.840698  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.837999  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.835300  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.832601  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.829902  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.827203  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.824504  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.821805  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.819106  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.816407  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.813708  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.811009  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.808310  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.805611  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.802912  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.800213  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.797514  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.794815  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.792116  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.789417  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.786718  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.784019  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.781320  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.778621  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.775922  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.773223  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.770524  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.767825  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.765126  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.762427  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.759728  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.757029  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.754331  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.751632  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.748933  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.746234  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.743535  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.740836  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.738137  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.735438  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.732739  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.730040  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.727341  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.724642  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.721943  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.719244  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.716545  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.713846  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.711147  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.708448  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.705749  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.703050  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.700351  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.697652  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.694953  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.692254  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.689555  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.686856  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.684157  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.681458  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
