# # pES cross section (10^-38 cm^2/GeV) #   From Beacom & Farr & Vogel hep-ph/0205220 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.070927  1.729592e-03  1.729592e-03  1.729592e-03  1.729330e-03  1.729330e-03  1.729330e-03
-3.068626  1.738754e-03  1.738754e-03  1.738754e-03  1.738488e-03  1.738488e-03  1.738488e-03
-3.066325  1.747963e-03  1.747963e-03  1.747963e-03  1.747695e-03  1.747695e-03  1.747695e-03
-3.064024  1.757221e-03  1.757221e-03  1.757221e-03  1.756950e-03  1.756950e-03  1.756950e-03
-3.061723  1.766528e-03  1.766528e-03  1.766528e-03  1.766255e-03  1.766255e-03  1.766255e-03
-3.059422  1.775885e-03  1.775885e-03  1.775885e-03  1.775608e-03  1.775608e-03  1.775608e-03
-3.057121  1.785290e-03  1.785290e-03  1.785290e-03  1.785011e-03  1.785011e-03  1.785011e-03
-3.054820  1.794745e-03  1.794745e-03  1.794745e-03  1.794463e-03  1.794463e-03  1.794463e-03
-3.052519  1.804251e-03  1.804251e-03  1.804251e-03  1.803965e-03  1.803965e-03  1.803965e-03
-3.050218  1.813806e-03  1.813806e-03  1.813806e-03  1.813517e-03  1.813517e-03  1.813517e-03
-3.047917  1.823412e-03  1.823412e-03  1.823412e-03  1.823120e-03  1.823120e-03  1.823120e-03
-3.045616  1.833068e-03  1.833068e-03  1.833068e-03  1.832774e-03  1.832774e-03  1.832774e-03
-3.043315  1.842776e-03  1.842776e-03  1.842776e-03  1.842478e-03  1.842478e-03  1.842478e-03
-3.041014  1.852535e-03  1.852535e-03  1.852535e-03  1.852234e-03  1.852234e-03  1.852234e-03
-3.038713  1.862345e-03  1.862345e-03  1.862345e-03  1.862041e-03  1.862041e-03  1.862041e-03
-3.036412  1.872207e-03  1.872207e-03  1.872207e-03  1.871900e-03  1.871900e-03  1.871900e-03
-3.034111  1.882121e-03  1.882121e-03  1.882121e-03  1.881810e-03  1.881810e-03  1.881810e-03
-3.031809  1.892088e-03  1.892088e-03  1.892088e-03  1.891774e-03  1.891774e-03  1.891774e-03
-3.029508  1.902107e-03  1.902107e-03  1.902107e-03  1.901789e-03  1.901789e-03  1.901789e-03
-3.027207  1.912179e-03  1.912179e-03  1.912179e-03  1.911858e-03  1.911858e-03  1.911858e-03
-3.024906  1.922304e-03  1.922304e-03  1.922304e-03  1.921980e-03  1.921980e-03  1.921980e-03
-3.022605  1.932482e-03  1.932482e-03  1.932482e-03  1.932155e-03  1.932155e-03  1.932155e-03
-3.020304  1.942714e-03  1.942714e-03  1.942714e-03  1.942383e-03  1.942383e-03  1.942383e-03
-3.018003  1.953001e-03  1.953001e-03  1.953001e-03  1.952666e-03  1.952666e-03  1.952666e-03
-3.015702  1.963341e-03  1.963341e-03  1.963341e-03  1.963003e-03  1.963003e-03  1.963003e-03
-3.013401  1.973736e-03  1.973736e-03  1.973736e-03  1.973395e-03  1.973395e-03  1.973395e-03
-3.011100  1.984186e-03  1.984186e-03  1.984186e-03  1.983841e-03  1.983841e-03  1.983841e-03
-3.008799  1.994691e-03  1.994691e-03  1.994691e-03  1.994342e-03  1.994342e-03  1.994342e-03
-3.006498  2.005252e-03  2.005252e-03  2.005252e-03  2.004899e-03  2.004899e-03  2.004899e-03
-3.004197  2.015868e-03  2.015868e-03  2.015868e-03  2.015512e-03  2.015512e-03  2.015512e-03
-3.001896  2.026540e-03  2.026540e-03  2.026540e-03  2.026180e-03  2.026180e-03  2.026180e-03
-2.999595  2.037269e-03  2.037269e-03  2.037269e-03  2.036905e-03  2.036905e-03  2.036905e-03
-2.997294  2.048054e-03  2.048054e-03  2.048054e-03  2.047686e-03  2.047686e-03  2.047686e-03
-2.994993  2.058896e-03  2.058896e-03  2.058896e-03  2.058524e-03  2.058524e-03  2.058524e-03
-2.992692  2.069795e-03  2.069795e-03  2.069795e-03  2.069420e-03  2.069420e-03  2.069420e-03
-2.990391  2.080752e-03  2.080752e-03  2.080752e-03  2.080372e-03  2.080372e-03  2.080372e-03
-2.988090  2.091767e-03  2.091767e-03  2.091767e-03  2.091383e-03  2.091383e-03  2.091383e-03
-2.985789  2.102839e-03  2.102839e-03  2.102839e-03  2.102451e-03  2.102451e-03  2.102451e-03
-2.983488  2.113970e-03  2.113970e-03  2.113970e-03  2.113578e-03  2.113578e-03  2.113578e-03
-2.981187  2.125160e-03  2.125160e-03  2.125160e-03  2.124764e-03  2.124764e-03  2.124764e-03
-2.978886  2.136409e-03  2.136409e-03  2.136409e-03  2.136008e-03  2.136008e-03  2.136008e-03
-2.976585  2.147717e-03  2.147717e-03  2.147717e-03  2.147312e-03  2.147312e-03  2.147312e-03
-2.974284  2.159084e-03  2.159084e-03  2.159084e-03  2.158676e-03  2.158676e-03  2.158676e-03
-2.971983  2.170512e-03  2.170512e-03  2.170512e-03  2.170099e-03  2.170099e-03  2.170099e-03
-2.969682  2.182000e-03  2.182000e-03  2.182000e-03  2.181582e-03  2.181582e-03  2.181582e-03
-2.967381  2.193549e-03  2.193549e-03  2.193549e-03  2.193126e-03  2.193126e-03  2.193126e-03
-2.965080  2.205158e-03  2.205158e-03  2.205158e-03  2.204731e-03  2.204731e-03  2.204731e-03
-2.962779  2.216828e-03  2.216828e-03  2.216828e-03  2.216397e-03  2.216397e-03  2.216397e-03
-2.960478  2.228561e-03  2.228561e-03  2.228561e-03  2.228125e-03  2.228125e-03  2.228125e-03
-2.958177  2.240355e-03  2.240355e-03  2.240355e-03  2.239914e-03  2.239914e-03  2.239914e-03
-2.955875  2.252211e-03  2.252211e-03  2.252211e-03  2.251766e-03  2.251766e-03  2.251766e-03
-2.953574  2.264129e-03  2.264129e-03  2.264129e-03  2.263680e-03  2.263680e-03  2.263680e-03
-2.951273  2.276111e-03  2.276111e-03  2.276111e-03  2.275656e-03  2.275656e-03  2.275656e-03
